project_id,state,project_type,land_area_hectares,affected_families,compensation_disbursed_pct,approval_stage_days,legal_disputes_count,rehabilitation_progress_pct,documentation_completeness_pct,stakeholder_responsiveness_score,past_dept_delay_rate_pct,delayed
LA-1092,Haryana,Power Transmission Line,36.2,1409,26.4,817,0,19.3,88.1,4.3,32.8,0
LA-1093,Rajasthan,Highway,27.4,1298,80.9,204,3,61.3,52.6,1.5,25.9,1
LA-1094,Assam,Urban Metro,61.5,1920,42.0,39,0,80.2,51.0,2.5,57.9,1
LA-1095,Madhya Pradesh,Railway,34.5,110,35.5,601,1,84.4,90.7,7.7,41.0,0
LA-1096,West Bengal,Urban Metro,55.5,1707,61.9,501,2,41.8,73.8,4.6,3.1,1
LA-1097,Telangana,Urban Metro,70.9,684,29.5,504,0,71.7,77.5,1.1,20.5,0
LA-1098,Telangana,Port Development,175.9,136,62.8,244,0,39.6,83.8,6.8,78.7,0
LA-1099,Bihar,Urban Metro,38.4,1381,41.5,450,0,17.9,22.2,7.4,22.0,0
LA-1100,Haryana,Irrigation Canal,93.2,347,77.2,868,0,76.5,96.4,9.1,33.6,0
LA-1101,West Bengal,Urban Metro,49.3,355,65.2,689,1,71.0,94.4,2.4,8.4,0
LA-1102,Punjab,Port Development,51.4,1959,18.4,886,0,26.5,90.6,8.7,6.6,0
LA-1103,Uttar Pradesh,Irrigation Canal,38.8,445,70.6,306,0,53.4,72.5,7.4,43.1,0
LA-1104,Punjab,Highway,46.2,1096,40.7,784,0,29.2,62.2,6.1,22.0,0
LA-1105,Punjab,Dam/Reservoir,34.7,405,93.4,350,0,70.0,89.4,3.4,30.2,0
LA-1106,Punjab,Railway,82.4,252,41.7,842,1,37.2,80.2,5.1,33.1,1
LA-1107,Telangana,Industrial Corridor,22.4,6,64.7,780,1,72.7,66.2,2.8,19.3,1
LA-1108,Karnataka,Railway,9.6,37,43.2,156,0,61.4,88.9,7.5,40.4,0
LA-1109,Kerala,Railway,26.6,950,52.5,875,2,53.8,66.2,7.3,72.2,0
LA-1110,Madhya Pradesh,Port Development,24.2,870,43.6,550,0,65.2,68.9,2.7,37.0,0
LA-1111,Punjab,Railway,26.6,82,83.8,700,1,12.1,97.8,3.3,26.8,0
LA-1112,Gujarat,Urban Metro,37.3,702,43.2,525,0,31.4,81.8,9.1,7.4,0
LA-1113,Karnataka,Urban Metro,26.7,549,28.9,203,1,60.0,50.7,5.2,60.1,0
LA-1114,Gujarat,Highway,36.9,1144,68.7,886,1,68.7,44.0,6.0,3.7,0
LA-1115,Odisha,Railway,26.7,1989,38.1,110,0,72.9,91.2,9.6,13.3,0
LA-1116,Uttar Pradesh,Port Development,56.4,1384,80.1,729,0,8.6,48.4,2.9,49.6,1
LA-1117,Bihar,Industrial Corridor,174.9,1837,65.0,196,2,40.6,92.8,6.6,61.2,1
LA-1118,West Bengal,Highway,48.6,388,64.1,709,0,20.3,64.7,8.0,38.1,0
LA-1119,Maharashtra,Dam/Reservoir,27.7,434,63.8,386,0,10.3,30.6,3.9,52.7,0
LA-1120,Karnataka,Irrigation Canal,2.7,1502,79.7,220,0,52.7,81.2,3.8,20.2,0
LA-1121,Telangana,Highway,138.2,623,57.1,220,1,18.2,76.4,9.1,9.5,0
LA-1122,Telangana,Dam/Reservoir,50.6,1698,42.8,294,0,49.4,69.9,1.9,37.4,0
LA-1123,Karnataka,Highway,36.6,930,79.0,811,0,31.7,90.5,2.4,68.5,0
LA-1124,Haryana,Industrial Corridor,2.9,405,63.9,694,1,52.1,21.3,4.7,37.1,0
LA-1125,Odisha,Dam/Reservoir,38.1,1689,58.0,606,1,59.7,83.9,8.2,58.4,0
LA-1126,Maharashtra,Industrial Corridor,45.9,1103,18.6,570,1,39.4,85.5,5.1,87.3,1
LA-1127,Punjab,Industrial Corridor,26.8,1606,64.5,380,2,22.3,77.3,3.4,20.6,1
LA-1128,Odisha,Power Transmission Line,11.7,907,47.5,812,1,71.7,75.7,4.8,16.7,0
LA-1129,Telangana,Railway,10.9,256,7.4,253,1,13.1,64.6,5.0,32.9,0
LA-1130,Odisha,Industrial Corridor,139.6,1363,3.4,849,0,20.2,48.1,7.5,32.2,0
LA-1131,Gujarat,Dam/Reservoir,44.9,253,35.4,348,1,30.7,44.1,8.8,40.8,0
LA-1132,Maharashtra,Highway,26.8,1328,8.4,313,0,14.9,93.7,3.9,18.0,0
LA-1133,Gujarat,Dam/Reservoir,42.9,836,51.1,433,0,7.8,60.3,7.4,3.7,0
LA-1134,Punjab,Power Transmission Line,40.7,1584,21.9,676,0,63.9,44.1,7.3,25.0,1
LA-1135,Madhya Pradesh,Industrial Corridor,10.3,1740,38.4,645,1,68.0,31.1,7.9,33.3,0
LA-1136,Odisha,Railway,78.7,817,49.4,692,1,42.8,49.5,6.2,67.6,1
LA-1137,Uttar Pradesh,Industrial Corridor,35.8,1764,22.9,89,0,36.8,53.9,1.1,31.7,0
LA-1138,Tamil Nadu,Railway,45.4,226,44.5,153,0,33.4,61.6,6.9,81.3,0
LA-1139,Rajasthan,Irrigation Canal,109.9,219,42.0,765,0,57.8,89.9,6.5,61.4,0
LA-1140,Jharkhand,Urban Metro,12.0,1987,70.1,882,1,7.7,32.6,6.5,47.2,1
LA-1141,West Bengal,Highway,21.3,1150,80.6,123,0,25.0,99.1,3.5,59.0,0
LA-1142,Madhya Pradesh,Power Transmission Line,52.6,904,75.0,814,1,28.6,71.4,1.9,79.7,1
LA-1143,Rajasthan,Industrial Corridor,77.6,315,25.9,243,0,39.8,89.1,2.7,16.6,0
LA-1144,Jharkhand,Railway,24.7,581,73.4,881,1,55.8,74.8,2.9,55.1,1
LA-1145,Haryana,Irrigation Canal,25.9,1373,75.6,894,2,20.0,92.6,2.6,60.8,1
LA-1146,Uttar Pradesh,Irrigation Canal,65.4,1644,9.3,576,0,74.2,87.5,3.2,48.1,0
LA-1147,West Bengal,Urban Metro,166.1,1833,43.0,179,0,30.0,61.8,1.6,33.1,0
LA-1148,Haryana,Dam/Reservoir,44.0,818,67.9,711,1,32.0,70.1,3.4,60.2,1
LA-1149,Uttar Pradesh,Port Development,21.3,912,40.5,100,1,62.8,98.1,10.0,44.7,0
LA-1150,Haryana,Railway,16.0,330,68.6,307,0,33.2,76.8,5.6,55.1,0
LA-1151,Madhya Pradesh,Highway,37.2,170,58.4,578,0,51.2,75.9,4.1,42.3,0
LA-1152,Assam,Highway,75.2,878,65.3,70,0,34.2,73.3,7.5,40.3,0
LA-1153,Madhya Pradesh,Industrial Corridor,214.0,1160,89.3,359,0,9.5,43.5,5.2,40.5,0
LA-1154,Rajasthan,Railway,32.4,213,72.9,719,1,50.9,60.9,1.3,39.2,1
LA-1155,Telangana,Railway,44.0,819,23.8,91,0,11.9,98.5,5.9,49.4,1
LA-1156,Bihar,Port Development,124.5,1284,31.4,336,1,72.2,60.9,3.7,37.0,0
LA-1157,Gujarat,Port Development,52.0,1622,61.3,13,1,72.8,83.4,6.1,12.1,0
LA-1158,Gujarat,Port Development,48.8,1877,27.8,595,1,30.8,98.8,2.6,52.9,1
LA-1159,Punjab,Irrigation Canal,108.9,683,56.3,80,0,73.4,48.9,5.3,72.6,0
LA-1160,Jharkhand,Industrial Corridor,44.8,786,55.7,260,1,19.7,88.9,2.7,46.8,1
LA-1161,Telangana,Industrial Corridor,17.3,1750,21.7,475,0,27.1,78.0,3.7,24.6,0
LA-1162,Rajasthan,Railway,94.4,1388,49.1,200,0,41.1,68.9,7.2,50.0,0
LA-1163,Rajasthan,Industrial Corridor,8.5,551,36.6,215,1,16.5,63.9,3.0,68.8,1
LA-1164,Rajasthan,Industrial Corridor,83.8,1371,43.0,753,0,5.8,54.9,4.8,3.5,0
LA-1165,Haryana,Power Transmission Line,41.4,319,55.1,702,2,49.2,48.3,1.7,21.4,1
LA-1166,Tamil Nadu,Port Development,32.7,900,79.2,81,1,45.1,50.9,7.2,22.8,1
LA-1167,Bihar,Urban Metro,32.0,616,21.9,773,0,63.0,45.8,5.9,12.2,0
LA-1168,Tamil Nadu,Industrial Corridor,37.1,1985,69.2,426,0,61.7,68.5,8.3,52.0,0
LA-1169,Uttar Pradesh,Urban Metro,28.9,74,56.9,138,2,53.9,29.3,5.8,74.2,0
LA-1170,Maharashtra,Port Development,57.6,1714,51.1,816,0,78.6,75.3,9.9,32.9,0
LA-1171,Maharashtra,Industrial Corridor,29.8,566,40.2,309,0,16.9,87.0,3.2,12.7,0
LA-1172,Punjab,Irrigation Canal,41.6,77,56.9,299,0,58.8,73.6,7.7,36.2,0
LA-1173,Kerala,Port Development,4.9,1321,22.6,140,0,56.9,53.5,4.9,54.2,0
LA-1174,Kerala,Urban Metro,41.4,1357,38.5,798,1,36.9,99.6,4.4,31.7,1
LA-1175,Karnataka,Dam/Reservoir,28.5,288,65.4,265,1,53.8,92.6,7.6,54.5,0
LA-1176,Kerala,Railway,79.6,81,58.4,537,0,27.9,53.9,9.6,39.1,0
LA-1177,Bihar,Power Transmission Line,33.8,227,62.8,222,0,67.0,66.3,7.8,51.2,0
LA-1178,Assam,Dam/Reservoir,71.8,820,94.1,806,1,87.6,37.8,4.0,63.6,0
LA-1179,Gujarat,Industrial Corridor,66.1,269,37.6,710,0,42.2,93.6,5.6,63.9,0
LA-1180,Jharkhand,Dam/Reservoir,67.4,1407,64.1,457,0,55.5,97.7,3.0,55.9,0
LA-1181,Bihar,Highway,34.8,159,36.5,317,2,17.0,87.3,6.6,79.0,1
LA-1182,Karnataka,Highway,43.5,1578,89.3,593,0,49.5,73.0,4.6,34.1,0
LA-1183,Kerala,Port Development,56.5,1749,41.3,451,0,18.4,35.4,3.1,38.6,1
LA-1184,Karnataka,Irrigation Canal,44.6,1435,46.8,847,0,26.9,95.2,1.2,31.3,0
LA-1185,Karnataka,Industrial Corridor,33.9,1888,15.2,609,1,50.0,83.4,9.3,38.3,1
LA-1186,Bihar,Power Transmission Line,18.8,1878,64.6,34,2,41.7,71.3,1.7,71.1,1
LA-1187,Rajasthan,Power Transmission Line,42.0,97,20.3,741,0,27.6,29.9,4.0,44.2,0
LA-1188,West Bengal,Dam/Reservoir,9.6,687,86.9,181,1,94.3,32.4,2.7,59.8,0
LA-1189,Madhya Pradesh,Highway,4.4,1521,44.3,278,0,38.5,94.6,5.4,23.8,0
LA-1190,Telangana,Port Development,15.0,682,26.3,398,1,43.5,81.1,2.8,59.2,1
LA-1191,Telangana,Dam/Reservoir,66.9,1475,53.5,196,0,31.3,65.9,7.6,53.6,0
LA-1192,Odisha,Urban Metro,49.6,1549,38.2,848,0,32.0,69.1,3.0,18.1,0
LA-1193,Tamil Nadu,Power Transmission Line,67.3,1993,5.0,880,0,40.8,73.2,2.7,66.9,1
LA-1194,Jharkhand,Railway,23.1,663,48.9,148,1,39.8,61.1,3.0,20.1,0
LA-1195,Maharashtra,Urban Metro,85.2,699,26.3,294,1,48.8,42.7,3.7,18.0,0
LA-1196,Tamil Nadu,Power Transmission Line,10.9,53,49.6,339,0,66.4,71.9,6.8,59.4,0
LA-1197,Maharashtra,Railway,15.5,574,81.8,607,0,30.9,82.7,2.9,30.9,0
LA-1198,Tamil Nadu,Irrigation Canal,84.2,564,81.8,542,0,36.7,34.0,7.3,44.9,0
LA-1199,Jharkhand,Dam/Reservoir,47.0,908,78.6,613,1,23.8,18.8,4.9,15.7,1
LA-1200,Tamil Nadu,Irrigation Canal,67.6,845,49.4,37,2,32.2,92.7,2.8,18.8,0
LA-1201,Assam,Railway,49.7,1713,51.0,467,1,72.8,73.3,3.2,32.6,0
LA-1202,Karnataka,Urban Metro,26.0,1548,20.8,197,1,17.0,66.3,5.7,20.0,1
LA-1203,Kerala,Railway,13.8,1458,58.4,213,1,8.7,86.2,4.4,24.5,0
LA-1204,Karnataka,Dam/Reservoir,6.1,15,76.7,699,3,67.8,85.3,5.6,46.8,0
LA-1205,Madhya Pradesh,Port Development,131.6,945,61.2,135,0,2.4,55.8,8.3,68.3,0
LA-1206,Punjab,Dam/Reservoir,8.1,1460,93.1,38,1,47.0,54.3,1.4,32.2,0
LA-1207,Jharkhand,Dam/Reservoir,106.5,492,48.4,443,1,84.5,84.4,4.5,38.2,1
LA-1208,Madhya Pradesh,Railway,45.0,852,77.1,664,2,40.1,87.2,4.7,61.5,1
LA-1209,Punjab,Railway,50.9,1455,37.2,464,0,35.3,77.6,3.3,38.8,0
LA-1210,Madhya Pradesh,Irrigation Canal,48.4,1590,43.5,153,1,54.4,50.1,5.0,34.0,0
LA-1211,Kerala,Power Transmission Line,61.8,1709,36.6,698,1,5.2,32.2,6.1,19.3,1
LA-1212,Punjab,Dam/Reservoir,21.2,862,27.1,349,0,17.5,87.1,6.3,26.7,0
LA-1213,Karnataka,Urban Metro,3.6,802,82.1,641,0,41.0,71.1,7.0,54.1,0
LA-1214,Kerala,Urban Metro,25.6,768,17.6,189,3,48.5,81.2,1.7,35.1,1
LA-1215,Madhya Pradesh,Dam/Reservoir,58.1,1338,22.9,821,1,14.9,27.5,5.1,21.0,1
LA-1216,Maharashtra,Urban Metro,15.7,841,87.9,262,1,42.0,71.3,7.8,56.9,0
LA-1217,Maharashtra,Power Transmission Line,86.7,803,77.6,874,0,88.5,53.8,5.1,59.9,0
LA-1218,Karnataka,Power Transmission Line,37.6,340,35.4,345,0,35.6,96.9,6.9,63.1,0
LA-1219,Assam,Industrial Corridor,14.3,959,60.7,657,1,85.2,59.4,6.3,28.8,1
LA-1220,Bihar,Highway,46.6,478,41.5,456,2,68.1,72.8,5.2,66.2,0
LA-1221,Karnataka,Urban Metro,57.4,1052,72.1,78,0,31.2,92.8,1.7,32.2,0
LA-1222,Kerala,Urban Metro,60.4,1777,33.2,97,1,74.7,29.9,6.7,33.0,0
LA-1223,West Bengal,Urban Metro,84.3,1552,25.3,370,1,46.3,46.0,5.8,50.1,1
LA-1224,Kerala,Industrial Corridor,10.0,958,41.8,181,0,33.2,97.2,1.1,36.3,0
LA-1225,Madhya Pradesh,Port Development,84.4,1955,82.7,551,1,35.2,67.6,2.9,36.9,1
LA-1226,Punjab,Dam/Reservoir,89.8,1960,16.1,132,0,10.1,91.0,1.6,53.7,1
LA-1227,Odisha,Industrial Corridor,13.8,891,70.8,535,0,25.0,61.6,6.1,29.5,0
LA-1228,Gujarat,Power Transmission Line,16.7,1528,42.3,192,0,8.2,53.6,1.1,59.9,0
LA-1229,Bihar,Highway,70.1,687,32.4,171,1,92.4,58.6,8.6,34.4,0
LA-1230,Karnataka,Port Development,30.0,1757,81.5,336,0,65.6,66.3,9.5,42.0,0
LA-1231,Haryana,Dam/Reservoir,98.9,750,23.4,528,0,45.6,63.8,9.8,10.3,0
LA-1232,Uttar Pradesh,Urban Metro,117.9,520,63.9,365,0,88.6,86.2,3.0,47.1,0
LA-1233,Punjab,Port Development,14.3,272,86.4,321,0,41.6,31.2,5.5,4.8,0
LA-1234,Karnataka,Port Development,20.8,1686,63.3,312,1,51.0,27.7,9.0,44.4,0
LA-1235,Kerala,Port Development,44.8,597,94.3,311,1,6.4,55.3,7.2,26.9,0
LA-1236,Telangana,Industrial Corridor,3.5,1627,24.1,369,0,52.3,65.9,3.7,74.6,1
LA-1237,Rajasthan,Highway,6.4,177,27.1,752,0,25.9,99.9,8.5,29.4,0
LA-1238,Madhya Pradesh,Highway,18.7,1004,63.0,524,2,77.0,90.8,6.2,30.9,1
LA-1239,Telangana,Railway,145.4,858,75.7,385,1,41.6,66.3,7.6,49.4,1
LA-1240,Bihar,Power Transmission Line,50.1,880,85.3,677,1,20.9,62.3,9.7,40.5,1
LA-1241,Odisha,Urban Metro,23.9,338,89.2,479,0,37.2,15.0,10.0,17.0,0
LA-1242,Maharashtra,Power Transmission Line,16.6,152,62.8,854,0,81.4,50.4,5.5,35.1,0
LA-1243,Telangana,Highway,13.7,696,77.5,510,0,55.1,73.5,2.4,18.3,0
LA-1244,Telangana,Railway,25.5,943,16.2,202,1,94.0,97.4,6.6,12.7,0
LA-1245,Maharashtra,Dam/Reservoir,24.2,1588,27.5,511,1,91.9,76.7,6.8,54.8,0
LA-1246,Punjab,Dam/Reservoir,34.5,927,16.5,698,1,40.6,75.5,6.1,57.5,0
LA-1247,Rajasthan,Power Transmission Line,59.4,495,54.0,199,1,57.7,87.3,4.8,28.2,0
LA-1248,Punjab,Port Development,38.9,528,55.6,189,0,13.2,68.7,6.2,17.1,0
LA-1249,Uttar Pradesh,Urban Metro,73.0,1225,22.9,543,0,3.8,88.4,5.8,34.6,0
LA-1250,Bihar,Dam/Reservoir,32.5,874,63.3,797,1,55.3,38.9,9.5,37.2,0
LA-1251,Karnataka,Dam/Reservoir,123.9,1802,41.5,307,2,36.5,86.5,8.5,59.3,1
LA-1252,West Bengal,Urban Metro,71.8,882,49.9,461,0,18.2,88.9,4.5,26.5,0
LA-1253,Tamil Nadu,Power Transmission Line,49.1,1136,63.2,592,0,26.4,69.6,6.1,22.4,0
LA-1254,Telangana,Urban Metro,59.5,132,52.2,600,0,29.0,69.5,6.1,10.8,0
LA-1255,Bihar,Irrigation Canal,26.1,391,50.3,139,0,46.6,78.6,5.6,38.4,0
LA-1256,Telangana,Irrigation Canal,34.0,1701,15.4,361,1,44.3,40.9,1.5,41.6,1
LA-1257,Maharashtra,Industrial Corridor,33.0,692,19.6,894,0,40.3,99.1,7.4,25.0,0
LA-1258,Bihar,Industrial Corridor,21.5,844,13.0,800,1,64.1,71.8,7.6,23.0,0
LA-1259,Odisha,Industrial Corridor,11.4,1182,28.7,697,1,79.6,93.6,5.4,60.8,0
LA-1260,Punjab,Power Transmission Line,61.9,120,77.4,31,0,49.5,79.9,9.1,17.5,0
LA-1261,Bihar,Power Transmission Line,81.2,1015,36.7,381,0,25.5,19.4,9.9,88.3,0
LA-1262,Madhya Pradesh,Highway,55.6,695,42.6,55,2,22.4,54.3,8.3,54.3,0
LA-1263,Assam,Industrial Corridor,38.8,301,59.3,278,1,18.3,52.5,9.4,63.7,0
LA-1264,Jharkhand,Industrial Corridor,161.8,839,47.2,779,0,12.5,73.3,5.4,31.8,0
LA-1265,Odisha,Dam/Reservoir,23.7,896,34.9,355,1,19.8,71.4,9.2,7.5,0
